id,urgency_level
6244475,0
6244476,0
6244477,0
6244478,0
6244479,0
6244480,0
6244481,0
6244482,0
6244483,0
6244484,0
6244485,0
6244486,0
6244487,0
6244488,0
6244489,0
6244490,0
6244491,0
6244492,0
6244493,0
6244494,0
6244495,0
6244496,0
6244497,0
6244498,0
6244499,0
6244500,0
6244501,0
6244502,0
6244503,0
6244504,0
6244505,0
6244506,0
6244507,0
6244508,0
6244509,0
6244510,0
6244511,0
6244512,0
6244513,0
6244514,0
6244515,0
6244516,0
6244517,0
6244518,0
6244519,0
6244520,0
6244521,0
6244522,0
6244523,0
6244524,0
6244525,0
6244526,0
6244527,0
6244528,0
6244529,0
6244530,0
6244531,0
6244532,0
6244533,0
6244534,0
6244535,0
6244536,0
6244537,0
6244538,0
6244539,0
6244540,0
6244541,0
6244542,0
6244543,0
6244544,0
6244545,0
6244546,0
6244547,0
6244548,0
6244549,0
6244550,0
6244551,0
6244552,0
6244553,0
6244554,0
6244555,0
6244556,0
6244557,0
6244558,0
6244559,0
6244560,0
6244561,0
6244562,0
6244563,0
6244564,0
6244565,0
6244566,0
6244567,0
6244568,0
6244569,0
6244570,0
6244571,0
6244572,0
6244573,0
6244574,0
6244575,0
6244576,0
6244577,0
6244578,0
6244579,0
6244580,0
6244581,0
6244582,0
6244583,0
6244584,0
6244585,0
6244586,0
6244587,0
6244588,0
6244589,0
6244590,0
6244591,0
6244592,0
6244593,0
6244594,0
6244595,0
6244596,0
6244597,0
6244598,0
6244599,0
6244600,0
6244601,0
6244602,0
6244603,0
6244604,0
6244605,0
6244606,0
6244607,0
6244608,0
6244609,0
6244610,0
6244611,0
6244612,0
6244613,0
6244614,0
6244615,0
6244616,0
6244617,0
6244618,0
6244619,0
6244620,0
6244621,0
6244622,0
6244623,0
6244624,0
6244625,0
6244626,0
6244627,0
6244628,0
6244629,0
6244630,0
6244631,0
6244632,0
6244633,0
6244634,0
6244635,0
6244636,0
6244637,0
6244638,0
6244639,0
6244640,0
6244641,0
6244642,0
6244643,0
6244644,0
6244645,0
6244646,0
6244647,0
6244648,0
6244649,0
6244650,0
6244651,0
6244652,0
6244653,0
6244654,0
6244655,0
6244656,0
6244657,0
6244658,0
6244659,0
6244660,0
6244661,0
6244662,0
6244663,0
6244664,0
6244665,0
6244666,0
6244667,0
6244668,0
6244669,0
6244670,0
6244671,0
6244672,0
6244673,0
6244674,0
6244675,0
6244676,0
6244677,0
6244678,0
6244679,0
6244680,0
6244681,0
6244682,0
6244683,0
6244684,0
6244685,0
6244686,0
6244687,0
6244688,0
6244689,0
6244690,0
6244691,0
6244692,0
6244693,0
6244694,0
6244695,0
6244696,0
6244697,0
6244698,0
6244699,0
6244700,0
6244701,0
6244702,0
6244703,0
6244704,0
6244705,0
6244706,0
6244707,0
6244708,0
6244709,0
6244710,0
6244711,0
6244712,0
6244713,0
6244714,0
6244715,0
6244716,0
6244717,0
6244718,0
6244719,0
6244720,0
6244721,0
6244722,0
6244723,0
6244724,0
6244725,0
6244726,0
6244727,0
6244728,0
6244729,0
6244730,0
6244731,0
6244732,0
6244733,0
6244734,0
6244735,0
6244736,0
6244737,0
6244738,0
6244739,0
6244740,0
6244741,0
6244742,0
6244743,0
6244744,0
6244745,0
6244746,0
6244747,0
6244748,0
6244749,0
6244750,0
6244751,0
6244752,0
6244753,0
6244754,0
6244755,0
6244756,0
6244757,0
6244758,0
6244759,0
6244760,0
6244761,0
6244762,0
6244763,0
6244764,0
6244765,0
6244766,0
6244767,0
6244768,0
6244769,0
6244770,0
6244771,0
6244772,0
6244773,0
6244774,0
6244775,0
6244776,0
6244777,0
6244778,0
6244779,0
6244780,0
6244781,0
6244782,0
6244783,0
6244784,0
6244785,0
6244786,0
6244787,0
6244788,0
6244789,0
6244790,0
6244791,0
6244792,0
6244793,0
6244794,0
6244795,0
6244796,0
6244797,0
6244798,0
6244799,0
6244800,0
6244801,0
6244802,0
6244803,0
6244804,0
6244805,0
6244806,0
6244807,0
6244808,0
6244809,0
6244810,0
6244811,0
6244812,0
6244813,0
6244814,0
6244815,0
6244816,0
6244817,0
6244818,0
6244819,0
6244820,0
6244821,0
6244822,0
6244823,0
6244824,0
6244825,0
6244826,0
6244827,0
6244828,0
6244829,0
6244830,0
6244831,0
6244832,0
6244833,0
6244834,0
6244835,0
6244836,0
6244837,0
6244838,0
6244839,0
6244840,0
6244841,0
6244842,0
6244843,0
6244844,0
6244845,0
6244846,0
6244847,0
6244848,0
6244849,0
6244850,0
6244851,0
6244852,0
6244853,0
6244854,0
6244855,0
6244856,0
6244857,0
6244858,0
6244859,0
6244860,0
6244861,0
6244862,0
6244863,0
6244864,0
6244865,0
6244866,0
6244867,0
6244868,0
6244869,0
6244870,0
6244871,0
6244872,0
6244873,0
6244874,0
6244875,0
6244876,0
6244877,0
6244878,0
6244879,0
6244880,0
6244881,0
6244882,0
6244883,0
6244884,0
6244885,0
6244886,0
6244887,0
6244888,0
6244889,0
6244890,0
6244891,0
6244892,0
6244893,0
6244894,0
6244895,0
6244896,0
6244897,0
6244898,0
6244899,0
6244900,0
6244901,0
6244902,0
6244903,0
6244904,0
6244905,0
6244906,0
6244907,0
6244908,0
6244909,0
6244910,0
6244911,0
6244912,0
6244913,0
6244914,0
6244915,0
6244916,0
6244917,0
6244918,0
6244919,0
6244920,0
6244921,0
6244922,0
6244923,0
6244924,0
6244925,0
6244926,0
6244927,0
6244928,0
6244929,0
6244930,0
6244931,0
6244932,0
6244933,0
6244934,0
6244935,0
6244936,0
6244937,0
6244938,0
6244939,0
6244940,0
6244941,0
6244942,0
6244943,0
6244944,0
6244945,0
6244946,0
6244947,0
6244948,0
6244949,0
6244950,0
6244951,0
6244952,0
6244953,0
6244954,0
6244955,0
6244956,0
6244957,0
6244958,0
6244959,0
6244960,0
6244961,0
6244962,0
6244963,0
6244964,0
6244965,0
6244966,0
6244967,0
6244968,0
6244969,0
6244970,0
6244971,0
6244972,0
6244973,0
6244974,0
6244975,0
6244976,0
6244977,0
6244978,0
6244979,0
6244980,0
6244981,0
6244982,0
6244983,0
6244984,0
6244985,0
6244986,0
6244987,0
6244988,0
6244989,0
6244990,0
6244991,0
6244992,0
6244993,0
6244994,0
6244995,0
6244996,0
6244997,0
6244998,0
6244999,0
6245000,0
6245001,0
6245002,0
6245003,0
6245004,0
6245005,0
6245006,0
6245007,0
6245008,0
6245009,0
6245010,0
6245011,0
6245012,0
6245013,0
6245014,0
6245015,0
6245016,0
6245017,0
6245018,0
6245019,0
6245020,0
6245021,0
6245022,0
6245023,0
6245024,0
6245025,0
6245026,0
6245027,0
6245028,0
6245029,0
6245030,0
6245031,0
6245032,0
6245033,0
6245034,0
6245035,0
6245036,0
6245037,0
6245038,0
6245039,0
6245040,0
6245041,0
6245042,0
6245043,0
6245044,0
6245045,0
6245046,0
6245047,0
6245048,0
6245049,0
6245050,0
6245051,0
6245052,0
6245053,0
6245054,0
6245055,0
6245056,0
6245057,0
6245058,0
6245059,0
6245060,0
6245061,0
6245062,0
6245063,0
6245064,0
6245065,0
6245066,0
6245067,0
6245068,0
6245069,0
6245070,0
6245071,0
6245072,0
6245073,0
6245074,0
6245075,0
6245076,0
6245077,0
6245078,0
6245079,0
6245080,0
6245081,0
6245082,0
6245083,0
6245084,0
6245085,0
6245086,0
6245087,0
6245088,0
6245089,0
6245090,0
6245091,0
6245092,0
6245093,0
6245094,0
6245095,0
6245096,0
6245097,0
6245098,0
6245099,0
6245100,0
6245101,0
6245102,0
6245103,0
6245104,0
6245105,0
6245106,0
6245107,0
6245108,0
6245109,0
6245110,0
6245111,0
6245112,0
6245113,0
6245114,0
6245115,0
6245116,0
6245117,0
6245118,0
6245119,0
6245120,0
6245121,0
6245122,0
6245123,0
6245124,0
6245125,0
6245126,0
6245127,0
6245128,0
6245129,0
6245130,0
6245131,0
6245132,0
6245133,0
6245134,0
6245135,0
6245136,0
6245137,0
6245138,0
6245139,0
6245140,0
6245141,0
6245142,0
6245143,0
6245144,0
6245145,0
6245146,0
6245147,0
6245148,0
6245149,0
6245150,0
6245151,0
6245152,0
6245153,0
6245154,0
6245155,0
6245156,0
6245157,0
6245158,0
6245159,0
6245160,0
6245161,0
6245162,0
6245163,0
6245164,0
6245165,0
6245166,0
6245167,0
6245168,0
6245169,0
6245170,0
6245171,0
6245172,0
6245173,0
6245174,0
6245175,0
6245176,0
6245177,0
6245178,0
6245179,0
6245180,0
6245181,0
6245182,0
6245183,0
6245184,0
6245185,0
6245186,0
6245187,0
6245188,0
6245189,0
6245190,0
6245191,0
6245192,0
6245193,0
6245194,0
6245195,0
6245196,0
6245197,0
6245198,0
6245199,0
6245200,0
6245201,0
6245202,0
6245203,0
6245204,0
6245205,0
6245206,0
6245207,0
6245208,0
6245209,0
6245210,0
6245211,0
6245212,0
6245213,0
6245214,0
6245215,0
6245216,0
6245217,0
6245218,0
6245219,0
6245220,0
6245221,0
6245222,0
6245223,0
6245224,0
6245225,0
6245226,0
6245227,0
6245228,0
6245229,0
6245230,0
6245231,0
6245232,0
6245233,0
6245234,0
6245235,0
6245236,0
6245237,0
6245238,0
6245239,0
6245240,0
6245241,0
6245242,0
6245243,0
6245244,0
6245245,0
6245246,0
6245247,0
6245248,0
6245249,0
6245250,0
6245251,0
6245252,0
6245253,0
6245254,0
6245255,0
6245256,0
6245257,0
6245258,0
6245259,0
6245260,0
6245261,0
6245262,0
6245263,0
6245264,0
6245265,0
6245266,0
6245267,0
6245268,0
6245269,0
6245270,0
6245271,0
6245272,0
6245273,0
6245274,0
6245275,0
6245276,0
6245277,0
6245278,0
6245279,0
6245280,0
6245281,0
6245282,0
6245283,0
6245284,0
6245285,0
6245286,0
6245287,0
6245288,0
6245289,0
6245290,0
6245291,0
6245292,0
6245293,0
6245294,0
6245295,0
6245296,0
6245297,0
6245298,0
6245299,0
6245300,0
6245301,0
6245302,0
6245303,0
6245304,0
6245305,0
6245306,0
6245307,0
6245308,0
6245309,0
6245310,0
6245311,0
6245312,0
6245313,0
6245314,0
6245315,0
6245316,0
6245317,0
6245318,0
6245319,0
6245320,0
6245321,0
6245322,0
6245323,0
6245324,0
6245325,0
6245326,0
6245327,0
6245328,0
6245329,0
6245330,0
6245331,0
6245332,0
6245333,0
6245334,0
6245335,0
6245336,0
6245337,0
6245338,0
6245339,0
6245340,0
6245341,0
6245342,0
6245343,0
6245344,0
6245345,0
6245346,0
6245347,0
6245348,0
6245349,0
6245350,0
6245351,0
6245352,0
6245353,0
6245354,0
6245355,0
6245356,0
6245357,0
6245358,0
6245359,0
6245360,0
6245361,0
6245362,0
6245363,0
6245364,0
6245365,0
6245366,0
6245367,0
6245368,0
6245369,0
6245370,0
6245371,0
6245372,0
6245373,0
6245374,0
6245375,0
6245376,0
6245377,0
6245378,0
6245379,0
6245380,0
6245381,0
6245382,0
6245383,0
6245384,0
6245385,0
6245386,0
6245387,0
6245388,0
6245389,0
6245390,0
6245391,0
6245392,0
6245393,0
6245394,0
6245395,0
6245396,0
6245397,0
6245398,0
6245399,0
6245400,0
6245401,0
6245402,0
6245403,0
6245404,0
6245405,0
6245406,0
6245407,0
6245408,0
6245409,0
6245410,0
6245411,0
6245412,0
6245413,0
6245414,0
6245415,0
6245416,0
6245417,0
6245418,0
6245419,0
6245420,0
6245421,0
6245422,0
6245423,0
6245424,0
6245425,0
6245426,0
6245427,0
6245428,0
6245429,0
6245430,0
6245431,0
6245432,0
6245433,0
6245434,0
6245435,0
6245436,0
6245437,0
6245438,0
6245439,0
6245440,0
6245441,0
6245442,0
6245443,0
6245444,0
6245445,0
6245446,0
6245447,0
6245448,0
6245449,0
6245450,0
6245451,0
6245452,0
6245453,0
6245454,0
6245455,0
6245456,0
6245457,0
6245458,0
6245459,0
6245460,0
6245461,0
6245462,0
6245463,0
6245464,0
6245465,0
6245466,0
6245467,0
6245468,0
6245469,0
6245470,0
6245471,0
6245472,0
6245473,0
6245474,0
6245475,0
6245476,0
6245477,0
6245478,0
6245479,0
6245480,0
6245481,0
6245482,0
6245483,0
6245484,0
6245485,0
6245486,0
6245487,0
6245488,0
6245489,0
6245490,0
6245491,0
6245492,0
6245493,0
6245494,0
6245495,0
6245496,0
6245497,0
6245498,0
6245499,0
6245500,0
6245501,0
6245502,0
6245503,0
6245504,0
6245505,0
6245506,0
6245507,0
6245508,0
6245509,0
6245510,0
6245511,0
6245512,0
6245513,0
6245514,0
6245515,0
6245516,0
6245517,0
6245518,0
6245519,0
6245520,0
6245521,0
6245522,0
6245523,0
6245524,0
6245525,0
6245526,0
6245527,0
6245528,0
6245529,0
6245530,0
6245531,0
6245532,0
6245533,0
6245534,0
6245535,0
6245536,0
6245537,0
6245538,0
6245539,0
6245540,0
6245541,0
6245542,0
6245543,0
6245544,0
6245545,0
6245546,0
6245547,0
6245548,0
6245549,0
6245550,0
6245551,0
6245552,0
6245553,0
6245554,0
6245555,0
6245556,0
6245557,0
